id,emotion
1608134,neutral
1608115,neutral
1608106,neutral
1608094,neutral
1608092,neutral
1608021,neutral
1608009,neutral
1607998,neutral
1607991,neutral
1607973,neutral
1607964,neutral
1607950,neutral
1607926,neutral
1607919,neutral
1607911,neutral
1607898,neutral
1607892,neutral
1607871,neutral
1607862,positive
1607852,neutral
1607842,positive
1607837,neutral
1607829,neutral
1607825,neutral
1607816,neutral
1607809,neutral
1607800,neutral
1607791,neutral
1607782,neutral
1607774,neutral
1607758,neutral
1607736,neutral
1607725,neutral
1607704,neutral
1607692,neutral
1607672,neutral
1607663,neutral
1607645,neutral
1607635,neutral
1607622,neutral
1607608,neutral
1607590,neutral
1607577,neutral
1607567,neutral
1607556,neutral
1607542,neutral
1607534,neutral
1607527,neutral
1607511,neutral
1607495,neutral
1607491,neutral
1607418,neutral
1607415,neutral
1607398,neutral
1607370,neutral
1607351,neutral
1607339,neutral
1607314,neutral
1607302,neutral
1607283,neutral
1607264,neutral
1607245,neutral
1607232,neutral
1607217,neutral
1607205,neutral
1607194,neutral
1607183,neutral
1607175,neutral
1607170,neutral
1607163,neutral
1607148,neutral
1607141,neutral
1607131,neutral
1607121,neutral
1607117,neutral
1607113,neutral
1607106,neutral
1607098,neutral
1607091,neutral
1607077,neutral
1607066,neutral
1607046,neutral
1607032,neutral
1607024,neutral
1607011,neutral
1606997,neutral
1606989,neutral
1606966,neutral
1606950,neutral
1606938,neutral
1606936,neutral
1606921,neutral
1606910,neutral
1606901,neutral
1606883,neutral
1606872,neutral
1606864,neutral
1606755,neutral
1606744,neutral
1606733,neutral
1606722,neutral
