id,cluster
1625512,2
1625499,2
1625489,2
1625476,0
1625468,2
1625457,2
1625449,0
1625432,2
1625410,2
1625399,2
1625395,1
1625375,2
1625357,2
1625335,2
1625317,2
1625302,2
1625288,2
1625269,2
1625255,2
1625237,2
1625222,0
1625203,2
1625196,0
1625135,2
1625128,2
1625122,2
1625107,2
1625096,0
1625077,2
1625060,0
1625042,0
1625030,0
1625020,0
1625013,2
1624999,2
1624988,2
1624981,0
1624976,1
1624955,2
1624950,1
1624944,1
1624938,0
1624931,2
1624926,2
1624912,2
1624889,0
1624868,2
1624859,2
1624853,2
1624844,2
1624839,0
1624821,2
1624804,0
1624791,2
1624769,2
1624758,2
1624745,0
1624735,2
1624731,0
1624718,0
1624697,2
1624680,2
1624665,2
1624643,2
1624631,1
1624625,2
1624620,2
1624612,2
1624604,2
1624559,2
1624553,2
1624550,2
1624547,2
1624539,0
1624522,1
1624512,0
1624504,0
1624490,2
1624477,2
1624467,2
1624460,2
1624440,1
1624427,1
1624421,2
1624413,0
1624405,2
1624387,2
1624359,2
1624349,2
1624333,2
1624323,2
1624316,0
1624305,2
1624292,2
1624282,2
1624264,2
1624254,2
1624241,2
1624231,2
1624221,2
1624209,1
1624198,2
1624184,0
1624166,2
1624153,0
1624134,2
1624120,2
1624108,2
1624105,2
1624098,2
1624083,1
1624068,2
1624058,2
1624049,2
1624046,2
1623984,2
1623974,2
1623968,1
1623961,2
1623952,1
1623945,1
1623932,2
1623925,2
1623916,0
1623909,1
1623903,0
1623891,2
1623871,1
1623862,2
1623852,0
1623843,2
1623828,0
1623820,2
1623807,2
1623797,2
1623785,2
1623767,0
1623757,2
1623743,2
1623736,2
1623726,2
1623719,2
1623711,2
1623701,2
1623694,0
1623675,2
1623653,2
1623637,2
1623622,1
1623609,0
1623602,2
1623583,2
1623566,2
1623554,2
1623544,2
1623536,0
1623532,2
1623523,2
1623515,0
1623508,1
1623496,2
1623429,2
1623425,2
1623409,2
1623385,0
1623360,2
1623336,0
1623319,2
1623300,2
1623277,2
1623270,2
1623263,2
1623251,2
1623240,0
1623233,0
1623226,2
1623208,2
1623191,2
1623181,2
1623173,0
1623166,0
1623158,2
1623139,2
1623119,2
1623106,0
1623094,0
1623080,0
1623075,1
1623066,2
1623049,2
1623041,0
1623022,2
1623011,0
1622998,2
1622983,1
1622970,2
1622958,0
1622929,2
1622915,2
1622894,0
1622889,2
1622866,2
1622856,2
1622839,0
1622828,0
1622821,0
1622810,0
1622762,0
1622753,0
1622740,2
1622729,2
1622709,1
1622690,2
1622682,1
1622676,0
1622657,0
1622652,0
1622638,2
1622630,0
1622613,0
1622601,0
1622591,2
1622582,0
1622575,2
1622560,0
1622550,0
1622531,2
1622515,2
1622501,0
1622494,0
1622480,2
1622468,2
1622450,0
1622444,0
1622431,0
1622413,0
1622401,2
1622373,2
1622337,0
1622311,2
1622303,2
1622281,2
1622261,2
1622239,2
1622227,2
1622215,2
1622210,2
1622195,0
1622185,0
1622164,2
1622160,0
1622151,2
1622142,2
1622084,0
1622078,2
1622060,0
1622023,2
1622010,2
1621997,2
1621983,0
1621964,2
